ID,Name,Credits,PreRequisites
CAP 3020,Theory and Practice of Multimedia Production,3,CAP 3027
CAP 3027,Introduction to Digital Arts and Sciences,3,COP 3503
CAP 3032,Interactive Modeling and Animation 1,3,MAC 1147
CAP 3034,Introduction to Computer-Aided Animation,3,MAC 1147
CAP 3220,Introduction to Computer-Aided Modeling,3,MAC 1147
CAP 4053,Artificial Intelligence for Computer Games,3,COP 3530
CAP 4112,Generating Expressiveness in Intelligent Agents and Avatars,3,COP 3530
CAP 4136,Malware Reverse Engineering,3,CDA 3101
CAP 4613,Deep Learning for Computer Graphics,3,"COP 3530,MAS 3114"
CAP 4621,Artificial Intelligence and Heuristics,3,COP 3530
CAP 4641,Natural Language Processing,3,COP 3530
CAP 4730,Computational Structures in Computer Graphics,3,COP 3530
CAP 4770,Introduction to Data Science,3,COP 3530
CAP 4773,Projects Data Science,3,
CDA 3101,Introduction to Computer Organization,3,"COP 3503,MAC 2311"
CDA 4102,Computer Architecture,3,"CDA 3101,COP 3530"
CDA 4630,Embedded Systems,3,CDA 3101
CEN 3031,Introduction to Software Engineering,3,COP 3530
CEN 3907,Computer Engineering Design 1,3,"CEN 3031,EEL 3744"
CEN 3913,Computer and Information Science and Engineering Design 1,3,CEN 3031
CEN 4072,Software Testing and Verification,3,CEN 3031
CEN 4721,Human-Computer Interaction,3,COP 3530
CEN 4722,User Experience Design,3,COP 3530
CEN 4725,Natural User Interaction,3,COP 3530
CEN 4914,Computer and Information Science and Engineering Design 2,3,CEN 3913
CGS 2032,Math Art and Computing,3,MAC 1147
CGS 3063,Computers and Modern Society,3,
CGS 3065,Legal and Social Issues in Computing,3,
CGS 4144,Introduction to Bioinformatic Algorithms,3,"COT 3100,COP 3503"
CIS 4204,Penetration Testing: Ethical Hacking,3,COP 3530
CIS 4213,Enterprise Security,3,COP 3530
CIS 4301,Information and Database Systems 1,3,"COP 3503,COT 3100"
CIS 4360,Computer and Information Security,3,COP 4600
CIS 4362,Introduction to Cryptology,3,COT 3100
CIS 4912,Integrated Product and Process Design 1,3,"CDA 3101,COP 3530,COT 3100"
CIS 4913,Integrated Product and Process Design 2,3,CIS 4912
CIS 4940,Practical Work,3,
CIS 4949,Co-Op Work in CISE,3,
CNT 4007,Computer Network Fundamentals,3,COP 3530
CNT 4520,Introduction to Mobile Networking,3,COP 3502
CNT 4731,Multimedia Networking Principles,3,CNT 4007
COP 2271,Computer Programming for Engineers,2,MAC 2312
COP 2800,Computer Programming Using JAVA,3,MAC 1147
COP 3275,Computer Programming Using C,3,MAC 1147
COP 3502,Programming Fundamentals 1,4,
COP 3503,Programming Fundamentals 2,4,"COP 3502,MAC 2311"
COP 3530,Data Structures and Algorithm,3,"COP 3503 ,COT 3100,MAC 2312"
COP 4020,Programming Language Concepts,3,COP 3530
COP 4331,Object-oriented Programming,3,COP 3530
COP 4533,Algorithm Abstraction and Design,3,COP 3530
COP 4600,Operating Systems,3,"CDA 3101,COP 3530"
COP 4620,Translators and Translator Writing Systems,3,COP 3530
COP 4720,Information and Database Systems 2,3,"CIS 4301,COP 3530"
COT 3100,Applications of Discrete Structures,3,MAC 2311
COT 4501,Numerical Analysis: a Computational Approach,3,"COP 3503,MAS 3114"
ENC 1101,Expository and Argumentative Writing,3,
ENC 3246,Professional Communication for Engineers,3,ENC 1101
MAC 2311,Analytic Geometry and Calculus 1,4,
MAC 2312,Analytic Geometry and Calculus 2,4,MAC 2311
MAC 2313,Analytic Geometry and Calculus 3,4,MAC 2312
MAS 3114,Computational Linear Algebra,3,MAC 2312
PHY 2048,Physics with Calculus 1 and Laboratory for Physics with Calculus 1,4,MAC 2312
PHY 2049,Physics with Calculus 2 and Laboratory for Physics with Calculus 2,4,"PHY 2048,MAC 2312"
STA 3032,Engineering Statistics,3,MAC 2311
